从1开始累计,值为“国家级”、“省级”、“城市级”、“区县级”,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,,参照规范文件填写，包含直辖市,参照规范文件填写,参照规范文件填写,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,需要是负数,需要是负数,,格式为“YYYY/MM/DD HH:MM”,所有内容，包括标题,,格式为“YYYY/MM/DD HH:MM”,,,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“未核查”、“已核查”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,
序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,国家级,2020/2/8 00:00,2020/2/9 00:00,英国,,,,,,,,3,,,,,,,,,,,,,2020/2/9 下午8:04:00,手动,董禹,已核查,2020/2/9 下午8:04:00,手动,刘鑫,核查通过,,,,,,,
2,国家级,2020/2/9 00:00:00,2020/2/10 00:00:00,英国,,,,1,,,,4,,,,,,,,,,2020/2/9 22:47:00,大纪元,https://www.epochtimes.com/gb/20/2/9/n11855930.htm,2020/2/10 下午6:47:00,手动,董禹,已核查,2020/2/10 下午6:47:00,手动,刘鑫,核查通过,,,,,,,
2,国家级,2020/2/10 上午12:00:00,2020/2/11 上午12:00:00,英国,,,,5,,,,9,,,,,,,,,,2020/2/11 12:47:00,The Washington News,https://www.washingtonpost.com/world/europe/british-coronavirus-super-spreader-may-have-infected-at-least-11-people-in-three-countries/2020/02/10/016e9842-4c14-11ea-967b-e074d302c7d4_story.html,2020/2/11 下午8:47:00,手动,董禹,已核查,2020/2/11 下午8:47:00,手动,刘鑫,核查通过,,,,,,,
